work_id,work_category,state,constituency,mp_name,ida,work_description,recommended_date,recommended_amount,sanctioned_date,sanctioned_amount,work_status,lifecycle_stage,completion_date,amount_disbursed,image_available,sanction_delay_days,implementation_duration_days,days_since_sanction_as_of_2026_08_27,total_project_duration_days_as_of_2026_08_27,amount_difference_sanctioned_minus_recommended,sanction_ratio,disbursement_ratio,completion_record_match,status_vs_completion_record_conflict,state_consistent_rec_san,ida_consistent_rec_san,category_consistent_rec_san,description_consistent_rec_san,mp_consistent_rec_san,state_consistent_with_completed,ida_consistent_with_completed,category_consistent_with_completed,description_consistent_with_completed,mp_consistent_with_completed,date_consistency_issue,financial_consistency_issue,potential_amount_anomaly,consistency_issue_count,data_completeness_score
WS/MP18019/2024-2025/137520-Constructionofcommunitycentersandcommunityhalls,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),"Construction of Auditorium Hall cum Guest House at Phonglangso Lumding Road, near Arboretum (total @ Rs. 1.26 cr) 1st Installment Rs. 30.00 L",2024-08-29,3000000,2024-12-21,3000000,Physical Inspection,Completed,2024-12-23,3000000.0,,114,2.0,,116.0,0,1.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
"WS/MP18019/2024-2025/137586-Constructionofroads,linkroads,pathwaysoranyotherroadwithorwithoutdrainagesystem",Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Construction of road from PWD road to Graveyard at Rongbangpothar,2024-08-29,2000000,2025-01-04,2000000,Physical Inspection,Completed,2025-01-04,1999971.0,,128,0.0,,128.0,0,1.0,0.9999855,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
WS/MP18019/2024-2025/137587-Constructionofcommunitycentersandcommunityhalls,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Construction of Open Stage at Gangjang,2024-08-29,1500000,2024-11-13,1500000,Physical Inspection,Completed,2025-12-10,1499021.0,,76,392.0,,468.0,0,1.0,0.9993473333333334,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
WS/MP18019/2024-2025/137589-Treeplantationforcommunity,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),"Tree Plantation for providing self sufficiency to the 06 (six) Nos. of Ex-Revolutionary Cadre under the Banner of ""KERUP- Karbi Ex-Revolutionary United Forum""",2024-08-29,1000000,2024-10-25,1000000,Work Completed,Completed,2025-04-23,999679.0,,57,180.0,,237.0,0,1.0,0.999679,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,0,92.9
WS/MP18019/2024-2025/137591-Constructionofbus-shedsorbus-stops,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Construction of waiting shed at Minbung under Singhason MAC Constituency,2024-08-29,1000000,2024-11-13,1000000,Physical Inspection,Completed,2025-12-10,999363.0,,76,392.0,,468.0,0,1.0,0.999363,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
WS/MP18019/2024-2025/137592-Installingtube-wellsandborewells,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),"Construction of 3 Nos. Ringwell at Sar-et Senar village, @3.00 L x 3 Nos.",2024-08-29,900000,2024-10-25,900000,Physical Inspection,Completed,2025-10-22,899821.0,,57,362.0,,419.0,0,1.0,0.9998011111111111,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
WS/MP18019/2024-2025/137594-Creationofnewponds,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),"Construction of community fishery at Rongkimi, Diphu",2024-08-29,500000,2024-10-25,500000,Physical Inspection,Completed,2025-12-10,499329.0,Images,57,411.0,,468.0,0,1.0,0.998658,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,100.0
WS/MP18019/2024-2025/137595-Creationofnewponds,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),Construction of community fishery at Longnit,2024-08-29,500000,2024-10-25,500000,Physical Inspection,Completed,2025-12-10,499329.0,,57,411.0,,468.0,0,1.0,0.998658,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
WS/MP18019/2024-2025/137596-Constructionofcommunitycentersandcommunityhalls,Repair and Renovation,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),"Improvement of open stage at Govt. Boys Higher Secondary playground, Diphu",2024-08-29,499190,2024-12-21,499190,Physical Inspection,Completed,2024-12-23,499190.0,,114,2.0,,116.0,0,1.0,1.0,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
WS/MP18019/2024-2025/137598-Installingtube-wellsandborewells,Normal/Others,Assam,Diphu (ST),AMARSING TISSO,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),"Construction of ringwell near the house of Lt. Thangsing Tisso, Mohendijua",2024-08-29,400000,2024-10-25,400000,Physical Inspection,Completed,2025-12-11,399862.0,,57,412.0,,469.0,0,1.0,0.999655,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,1,92.9
